overallocation,conflicts,undersupport,unavailable,unpreferred
5,6,8,7.0,13.0
6,6,6,10.0,11.0
6,4,3,6.0,19.0
9,6,2,1.0,25.0
7,4,5,1.0,21.0
11,0,3,2.0,25.0
12,0,0,10.0,17.0
6,2,4,5.0,18.0
8,0,2,3.0,25.0
9,0,2,8.0,15.0
5,0,5,12.0,13.0
7,0,5,2.0,23.0
10,0,1,7.0,20.0
8,0,6,3.0,18.0
6,4,12,7.0,8.0
11,4,0,3.0,28.0
3,4,8,5.0,16.0
11,0,3,3.0,20.0
5,0,8,2.0,20.0
11,2,0,5.0,19.0
11,2,1,8.0,17.0
7,0,9,0.0,19.0
9,4,1,4.0,21.0
5,0,9,10.0,11.0
6,2,4,14.0,12.0
4,0,9,11.0,11.0
12,2,1,3.0,22.0
6,4,5,1.0,24.0
9,6,1,4.0,19.0
3,2,5,8.0,17.0
4,2,8,11.0,11.0
7,0,7,10.0,11.0
5,0,7,10.0,13.0
12,0,0,13.0,15.0
8,0,6,0.0,21.0
7,0,5,1.0,25.0
8,4,6,15.0,7.0
9,0,3,9.0,13.0
6,0,7,15.0,8.0
6,0,5,8.0,14.0
4,0,8,10.0,13.0
5,2,3,9.0,15.0
7,2,6,0.0,23.0
11,0,1,10.0,16.0
4,2,4,5.0,19.0
7,0,6,13.0,8.0
8,4,3,7.0,15.0
4,4,6,4.0,17.0
8,0,5,2.0,20.0
8,4,7,14.0,7.0
7,2,5,0.0,26.0
8,6,3,4.0,18.0
7,6,3,2.0,25.0
9,0,1,3.0,26.0
9,0,0,6.0,23.0
7,0,8,2.0,18.0
9,2,0,5.0,25.0
13,8,0,10.0,15.0
5,2,8,12.0,10.0
6,4,8,11.0,10.0
12,0,4,19.0,9.0
8,2,0,13.0,19.0
7,4,4,2.0,20.0
10,4,3,1.0,25.0
7,2,4,2.0,22.0
9,2,1,7.0,21.0
7,0,10,2.0,16.0
13,8,0,6.0,18.0
7,6,6,9.0,10.0
7,0,10,8.0,10.0
6,0,7,2.0,20.0
7,6,4,1.0,22.0
12,0,0,12.0,16.0
12,10,1,17.0,8.0
12,2,0,2.0,28.0
10,4,2,5.0,17.0
10,4,1,12.0,12.0
